,0
OTHBLEED,object
PUFYEAR,int64
SEX,object
RACE_NEW,object
ETHNICITY_HISPANIC,object
INOUT,object
AGE,object
ANESTHES,object
HEIGHT,int64
WEIGHT,int64
DIABETES,object
SMOKE,object
DYSPNEA,object
FNSTATUS2,object
VENTILAT,object
HXCOPD,object
ASCITES,object
HXCHF,object
HYPERMED,object
RENAFAIL,object
DIALYSIS,object
DISCANCR,object
WNDINF,object
STEROID,object
WTLOSS,object
BLEEDIS,object
TRANSFUS,object
PRSODM,float64
PRBUN,float64
PRCREAT,float64
PRALBUM,float64
PRBILI,float64
PRSGOT,float64
PRALKPH,float64
PRWBC,float64
PRHCT,float64
PRPLATE,float64
PRPTT,float64
PRINR,float64
PRPT,int64
EMERGNCY,object
ASACLAS,object
OPTIME,int64
TOTHLOS,int64
