Name,Definition
PUFYEAR,Year of PUF
SEX,Gender
RACE_NEW,New Race
ETHNICITY_HISPANIC,Ethnicity Hispanic
CPT,CPT
INOUT,Inpatient/outpatient
AGE,Age of patient with patients over 89 coded as 90+
ANESTHES,Principal anesthesia technique
ELECTSURG,Elective Surgery (this variable name changes with 2021/2022)
HEIGHT,Height in inches
WEIGHT,Weight in lbs
DIABETES,Diabetes mellitus with oral agents or insulin
SMOKE,Current smoker within one year
DYSPNEA,Dyspnea
FNSTATUS2,Functional health status Prior to Surgery
VENTILAT,Ventilator dependent
HXCOPD,History of severe COPD
ASCITES,Ascites
HXCHF,Heart failure (CHF) in 30 days before surgery
HYPERMED,Hypertension requiring medication
RENAFAIL,Acute renal failure (pre-op)
DIALYSIS,Currently on dialysis (pre-op)
DISCANCR,Disseminated cancer
WNDINF,Open wound/wound infection
STEROID,Immunosuppressive Therapy
WTLOSS,Malnourishment
BLEEDIS,Bleeding disorder
TRANSFUS,Preop Transfusion of >= 1 unit of whole/packed RBCs in 72 hours prior to surgery
PRSODM,Pre-operative serum sodium
PRBUN,Pre-operative BUN
PRCREAT,Pre-operative serum creatinine
PRALBUM,Pre-operative serum albumin
PRBILI,Pre-operative total bilirubin
PRSGOT,Pre-operative SGOT
PRALKPH,Pre-operative alkaline phosphatase
PRWBC,Pre-operative WBC
PRHCT,Pre-operative hematocrit
PRPLATE,Pre-operative platelet count
PRPTT,Pre-operative PTT
PRINR,Pre-operative International Normalized Ratio (INR) of PT values
PRPT,Pre-operative PT
EMERGNCY,Emergency case
ASACLAS,ASA classification
OPTIME,Total operation time
TOTHLOS,Length of total hospital stay
CASEID,Case Identification Number
PRNCPTX,Principal operative procedure CPT code description
WORKRVU,Work Relative Value Unit
TRANST,Transfer status
ADMYR,Year of Admission
OPERYR,Year of Operation
SURGSPEC,Surgical Specialty
DPRNA,Days from Na Preoperative Labs to Operation
DPRBUN,Days from BUN Preoperative Labs to Operation
DPRCREAT,Days from Creatinine Preoperative Labs to Operation
DPRALBUM,Days from Albumin Preoperative Labs to Operation
DPRBILI,Days from Bilirubin Preoperative Labs to Operation
DPRSGOT,Days from SGOT Preoperative Labs to Operation
DPRALKPH,Days from ALKPHOS Preoperative Labs to Operation
DPRWBC,Days from WBC Preoperative Labs to Operation
DPRHCT,Days from HCT Preoperative Labs to Operation
DPRPLATE,Days from PlateCount Preoperative Labs to Operation
DPRPTT,Days from PTT Preoperative Labs to Operation
DPRPT,Days from PT Preoperative Labs to Operation
DPRINR,Days from INR Preoperative Labs to Operation
OTHERWRVU1,Other Work Relative Value Unit 1
OTHERWRVU2,Other Work Relative Value Unit 2
OTHERWRVU3,Other Work Relative Value Unit 3
OTHERWRVU4,Other Work Relative Value Unit 4
OTHERWRVU5,Other Work Relative Value Unit 5
OTHERWRVU6,Other Work Relative Value Unit 6
OTHERWRVU7,Other Work Relative Value Unit 7
OTHERWRVU8,Other Work Relative Value Unit 8
OTHERWRVU9,Other Work Relative Value Unit 9
